vaucher,site,lat,lon,bio3,bio6,bio4,bio11,bio5,bio1,bio10,elevate,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio8,bio9,bio2,bio7
"107578","Izagre, León, ES",42.223790000000001,-5.257340000000000,39.00000,-5.00000,5805.00000,44.00000,283.00000,116.00000,193.00000,143.00000,476.00000,59.00000,21.00000,29.00000,165.00000,81.00000,83.00000,126.00000,83.00000,191.00000,115.00000,288.00000
"107585","Bienservida, Albacete, ES",38.517069999999997,-2.610860000000000,38.00000,-3.00000,6618.00000,50.00000,315.00000,128.00000,218.00000,119.00000,488.00000,62.00000,11.00000,36.00000,169.00000,57.00000,58.00000,132.00000,108.00000,218.00000,122.00000,318.00000
"107586","Bienservida, Albacete, ES",38.517069999999997,-2.610860000000000,38.00000,-3.00000,6618.00000,50.00000,315.00000,128.00000,218.00000,119.00000,488.00000,62.00000,11.00000,36.00000,169.00000,57.00000,58.00000,132.00000,108.00000,218.00000,122.00000,318.00000
"107587","Bienservida, Albacete, ES",38.517069999999997,-2.610860000000000,38.00000,-3.00000,6618.00000,50.00000,315.00000,128.00000,218.00000,119.00000,488.00000,62.00000,11.00000,36.00000,169.00000,57.00000,58.00000,132.00000,108.00000,218.00000,122.00000,318.00000
"107589","Bienservida, Albacete, ES",38.517069999999997,-2.610860000000000,38.00000,-3.00000,6618.00000,50.00000,315.00000,128.00000,218.00000,119.00000,488.00000,62.00000,11.00000,36.00000,169.00000,57.00000,58.00000,132.00000,108.00000,218.00000,122.00000,318.00000
"107595","Sinarcas, Valencia, ES",39.731710000000000,-1.230150000000000,38.00000,3.00000,6164.00000,51.00000,281.00000,124.00000,207.00000,138.00000,455.00000,56.00000,20.00000,29.00000,147.00000,88.00000,90.00000,88.00000,141.00000,51.00000,107.00000,278.00000
"107596","Sinarcas, Valencia, ES",39.731710000000000,-1.230150000000000,38.00000,3.00000,6164.00000,51.00000,281.00000,124.00000,207.00000,138.00000,455.00000,56.00000,20.00000,29.00000,147.00000,88.00000,90.00000,88.00000,141.00000,51.00000,107.00000,278.00000
"107597","Sinarcas, Valencia, ES",39.731710000000000,-1.230150000000000,38.00000,3.00000,6164.00000,51.00000,281.00000,124.00000,207.00000,138.00000,455.00000,56.00000,20.00000,29.00000,147.00000,88.00000,90.00000,88.00000,141.00000,51.00000,107.00000,278.00000
"107598","Sinarcas, Valencia, ES",39.731710000000000,-1.230150000000000,38.00000,3.00000,6164.00000,51.00000,281.00000,124.00000,207.00000,138.00000,455.00000,56.00000,20.00000,29.00000,147.00000,88.00000,90.00000,88.00000,141.00000,51.00000,107.00000,278.00000
"107615","Los Palancares, Cuenca, ES",40.031269999999999,-2.005590000000000,38.00000,-22.00000,6475.00000,33.00000,291.00000,110.00000,198.00000,97.00000,538.00000,68.00000,21.00000,27.00000,178.00000,90.00000,99.00000,126.00000,93.00000,196.00000,122.00000,313.00000
"107616","Los Palancares, Cuenca, ES",40.031269999999999,-2.005590000000000,38.00000,-22.00000,6475.00000,33.00000,291.00000,110.00000,198.00000,97.00000,538.00000,68.00000,21.00000,27.00000,178.00000,90.00000,99.00000,126.00000,93.00000,196.00000,122.00000,313.00000
"107617","Los Palancares, Cuenca, ES",40.031269999999999,-2.005590000000000,38.00000,-22.00000,6475.00000,33.00000,291.00000,110.00000,198.00000,97.00000,538.00000,68.00000,21.00000,27.00000,178.00000,90.00000,99.00000,126.00000,93.00000,196.00000,122.00000,313.00000
"107635","Cabezarrubias del Puerto, Cuidad Real, ES",38.615499999999997,-4.183950000000000,37.00000,13.00000,6940.00000,64.00000,345.00000,148.00000,242.00000,140.00000,522.00000,70.00000,5.00000,48.00000,185.00000,34.00000,34.00000,172.00000,102.00000,242.00000,125.00000,332.00000
"107636","Cabezarrubias del Puerto, Cuidad Real, ES",38.615499999999997,-4.183950000000000,37.00000,13.00000,6940.00000,64.00000,345.00000,148.00000,242.00000,140.00000,522.00000,70.00000,5.00000,48.00000,185.00000,34.00000,34.00000,172.00000,102.00000,242.00000,125.00000,332.00000
"107651","Arnedo, La Rioja, ES",42.225670000000001,-2.102070000000000,38.00000,1.00000,5971.00000,47.00000,279.00000,122.00000,199.00000,143.00000,534.00000,63.00000,29.00000,21.00000,163.00000,104.00000,114.00000,132.00000,143.00000,199.00000,108.00000,278.00000
"107652","Arnedo, La Rioja, ES",42.225670000000001,-2.102070000000000,38.00000,1.00000,5971.00000,47.00000,279.00000,122.00000,199.00000,143.00000,534.00000,63.00000,29.00000,21.00000,163.00000,104.00000,114.00000,132.00000,143.00000,199.00000,108.00000,278.00000
